Day,Confirmed,Deaths,Recovered,Active
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,1,0,0,1
2020-03-11,1,0,0,1
2020-03-12,1,0,0,1
2020-03-13,1,0,1,0
2020-03-14,1,0,1,0
2020-03-15,8,0,1,7
2020-03-16,17,0,1,16
2020-03-17,34,0,1,33
2020-03-18,52,0,1,51
2020-03-19,69,0,1,68
2020-03-20,85,0,1,84
2020-03-21,85,0,1,84
2020-03-22,112,0,1,111
2020-03-23,127,0,1,126
2020-03-24,154,0,1,153
2020-03-25,172,0,1,171
2020-03-26,212,0,1,211
2020-03-27,235,1,18,216
2020-03-28,246,1,18,227
2020-03-29,259,3,18,238
2020-03-30,268,5,26,237
2020-03-31,274,5,30,239
2020-04-01,278,5,36,237
2020-04-02,299,5,45,249
2020-04-03,310,5,58,247
2020-04-04,323,5,74,244
2020-04-05,345,5,110,230
2020-04-06,349,6,126,217
2020-04-07,353,6,138,209
2020-04-08,358,6,150,202
2020-04-09,372,7,161,204
2020-04-10,372,7,170,195
2020-04-11,381,7,177,197
2020-04-12,389,7,201,181
2020-04-13,391,7,215,169
2020-04-14,397,7,235,155
2020-04-15,401,7,250,144
2020-04-16,402,7,259,136
2020-04-17,407,7,265,135
2020-04-18,413,7,269,137
2020-04-19,417,7,276,134
2020-04-20,425,7,282,136
2020-04-21,428,7,297,124
2020-04-22,435,7,315,113
2020-04-23,437,7,318,112
2020-04-24,441,7,326,108
2020-04-25,444,7,332,105
2020-04-26,447,7,337,103
2020-04-27,449,7,342,100
2020-04-28,449,8,348,93
2020-04-29,451,8,356,87
2020-04-30,453,8,362,83
2020-05-01,459,8,364,87
2020-05-02,460,9,367,84
2020-05-03,461,9,367,85
2020-05-04,465,9,370,86
2020-05-05,471,9,375,87
2020-05-06,473,9,377,87
2020-05-07,494,9,381,104
2020-05-08,508,9,385,114
2020-05-09,522,9,387,126
2020-05-10,540,9,389,142
2020-05-11,562,9,390,163
2020-05-12,576,9,390,177
2020-05-13,582,9,392,181
2020-05-14,586,9,393,184
2020-05-15,596,9,401,186
2020-05-16,607,9,404,194
2020-05-17,613,9,408,196
2020-05-18,629,9,413,207
2020-05-19,649,9,417,223
2020-05-20,672,9,446,217
2020-05-21,684,9,457,218
2020-05-22,700,9,461,230
2020-05-23,704,9,470,225
2020-05-24,708,9,471,228
2020-05-25,711,9,479,223
2020-05-26,718,9,586,123
2020-05-27,720,9,586,125
2020-05-28,728,9,497,222
2020-05-29,730,9,507,214
2020-05-30,734,9,507,218
2020-05-31,739,9,522,208
2020-06-01,746,9,535,202
2020-06-02,755,9,549,197
2020-06-03,757,9,561,187
2020-06-04,765,9,566,190
2020-06-05,784,9,571,204
2020-06-06,795,9,586,200
2020-06-07,808,9,607,192
2020-06-08,831,9,627,195
2020-06-09,845,9,657,179
2020-06-10,863,9,663,191
2020-06-11,890,9,670,211
2020-06-12,915,9,671,235
2020-06-13,953,9,678,266
2020-06-14,961,9,682,270
2020-06-15,979,9,692,278
2020-06-16,981,9,693,279
2020-06-17,987,9,693,285
2020-06-18,1001,9,697,295
2020-06-19,1008,9,708,291
2020-06-20,1015,9,722,284
2020-06-21,1033,9,739,285
2020-06-22,1042,9,751,282
2020-06-23,1047,9,772,266
2020-06-24,1071,9,782,280
2020-06-25,1086,9,797,280
2020-06-26,1104,9,830,265
2020-06-27,1111,9,841,261
2020-06-28,1121,9,860,252
2020-06-29,1128,9,867,252
2020-06-30,1132,9,882,241
2020-07-01,1133,9,886,238
2020-07-02,1136,9,889,238
2020-07-03,1147,10,897,240
2020-07-04,1150,10,902,238
2020-07-05,1164,10,942,212
2020-07-06,1167,10,957,200
2020-07-07,1169,10,969,190
2020-07-08,1169,10,977,182
2020-07-09,1169,10,982,177
2020-07-10,1173,10,986,177
2020-07-11,1176,10,991,175
2020-07-12,1179,10,997,172
2020-07-13,1183,10,1008,165
2020-07-14,1198,10,1013,175
2020-07-15,1201,10,1016,175
2020-07-16,1206,10,1019,177
2020-07-17,1209,10,1021,178
2020-07-18,1214,11,1022,181
2020-07-19,1218,11,1024,183
2020-07-20,1223,11,1028,184
2020-07-21,1113,11,1034,68
2020-07-22,1120,11,1035,74
2020-07-23,1131,11,1035,85
2020-07-24,1146,11,1035,100
2020-07-25,1154,11,1036,107
2020-07-26,1168,11,1041,116
2020-07-27,1176,11,1041,124
2020-07-28,1182,11,1042,129
2020-07-29,1187,11,1049,127
2020-07-30,1191,11,1072,108
2020-07-31,1193,11,1084,98
2020-08-01,1208,11,1094,103
2020-08-02,1213,11,1099,103
2020-08-03,1218,11,1131,76
2020-08-04,1224,11,1155,58
2020-08-05,1231,11,1160,60
2020-08-06,1232,11,1171,50
2020-08-07,1237,11,1178,48
2020-08-08,1246,11,1178,57
2020-08-09,1252,11,1187,54
2020-08-10,1268,11,1187,70
2020-08-11,1283,11,1189,83
2020-08-12,1303,11,1215,77
2020-08-13,1320,11,1222,87
2020-08-14,1329,11,1229,89
2020-08-15,1339,11,1229,99
2020-08-16,1378,11,1236,131
2020-08-17,1398,11,1241,146
2020-08-18,1438,11,1243,184
2020-08-19,1482,11,1259,212
2020-08-20,1498,11,1261,226
2020-08-21,1532,11,1262,259
2020-08-22,1576,11,1268,297
2020-08-23,1609,12,1320,277
2020-08-24,1639,14,1335,290
2020-08-25,1716,14,1344,358
2020-08-26,1756,15,1355,386
2020-08-27,1801,15,1364,422
2020-08-28,1869,15,1367,487
2020-08-29,1893,15,1447,431
2020-08-30,1966,15,1468,483
2020-08-31,2034,15,1508,511
2020-09-01,2097,15,1564,518
2020-09-02,2161,15,1610,536
2020-09-03,2233,15,1648,570
2020-09-04,2301,16,1676,609
2020-09-05,2353,16,1700,637
2020-09-06,2411,16,1756,639
2020-09-07,2478,17,1817,644
2020-09-08,2581,19,1885,677
2020-09-09,2659,19,1919,721
2020-09-10,2739,20,1981,738
2020-09-11,2945,21,2084,840
2020-09-12,3062,22,2156,884
2020-09-13,3314,24,2206,1084
2020-09-14,3528,26,2255,1247
2020-09-15,3677,26,2311,1340
2020-09-16,3852,26,2349,1477
2020-09-17,4131,26,2415,1690
2020-09-18,4344,29,2511,1804
2020-09-19,4540,30,2672,1838
2020-09-20,4779,30,2844,1905
2020-09-21,5045,32,3527,1486
2020-09-22,5679,33,3707,1939
2020-09-23,6042,35,3812,2195
2020-09-24,6591,36,3937,2618
2020-09-25,7211,39,4035,3137
2020-09-26,8061,43,4131,3887
2020-09-27,8492,45,4222,4225
2020-09-28,9226,51,4359,4816
2020-09-29,10049,57,4496,5496
2020-09-30,11825,61,4626,7138
2020-10-01,13101,69,4752,8280
2020-10-02,13650,79,4929,8642
2020-10-03,14749,88,5101,9560
2020-10-04,15640,101,5240,10299
2020-10-05,17464,110,5292,12062
2020-10-06,19001,122,5386,13493
2020-10-07,20200,131,5575,14494
2020-10-08,21517,144,5777,15596
2020-10-09,22763,166,5906,16691
2020-10-10,23998,181,6045,17772
2020-10-11,24926,191,6101,18634
2020-10-12,26073,207,6219,19647
2020-10-13,28127,225,6361,21541
2020-10-14,30550,257,6466,23827
2020-10-15,33009,282,6565,26162
2020-10-16,34548,310,6692,27546
2020-10-17,36053,330,6773,28950
2020-10-18,37573,345,6912,30316
2020-10-19,38937,380,7006,31551
2020-10-20,40972,414,7123,33435
2020-10-21,43620,443,7223,35954
2020-10-22,46441,481,7340,38620
2020-10-23,48930,508,7449,40973
2020-10-24,50750,540,7508,42702
2020-10-25,53087,579,7508,45000
