Day,Confirmed,Deaths,Recovered,Active
2020-03-22,1,0,0,1
2020-03-23,2,1,0,1
2020-03-24,3,1,0,2
2020-03-25,3,1,0,2
2020-03-26,3,1,0,2
2020-03-27,3,1,0,2
2020-03-28,3,1,0,2
2020-03-29,4,1,0,3
2020-03-30,4,1,0,3
2020-03-31,4,1,0,3
2020-04-01,4,1,2,1
2020-04-02,4,1,2,1
2020-04-03,4,1,2,1
2020-04-04,4,1,2,1
2020-04-05,4,1,2,1
2020-04-06,4,1,2,1
2020-04-07,4,1,2,1
2020-04-08,4,1,2,1
2020-04-09,4,1,2,1
2020-04-10,4,1,2,1
2020-04-11,9,1,2,6
2020-04-12,9,1,2,6
2020-04-13,9,1,2,6
2020-04-14,9,1,2,6
2020-04-15,9,1,2,6
2020-04-16,9,1,2,6
2020-04-17,9,1,2,6
2020-04-18,9,1,2,6
2020-04-19,10,1,2,7
2020-04-20,10,1,2,7
2020-04-21,10,1,2,7
2020-04-22,10,1,2,7
2020-04-23,10,1,2,7
2020-04-24,10,1,8,1
2020-04-25,10,1,8,1
2020-04-26,10,1,8,1
2020-04-27,10,1,8,1
2020-04-28,10,1,8,1
2020-04-29,10,1,8,1
2020-04-30,11,1,8,2
2020-05-01,12,1,8,3
2020-05-02,17,1,9,7
2020-05-03,17,1,9,7
2020-05-04,17,1,9,7
2020-05-05,17,1,9,7
2020-05-06,17,1,9,7
2020-05-07,18,1,9,8
2020-05-08,20,1,9,10
2020-05-09,20,1,9,10
2020-05-10,20,1,9,10
2020-05-11,22,1,10,11
2020-05-12,22,1,10,11
2020-05-13,23,1,10,12
2020-05-14,23,1,10,12
2020-05-15,23,1,10,12
2020-05-16,23,1,12,10
2020-05-17,23,1,12,10
2020-05-18,24,1,13,10
2020-05-19,24,1,13,10
2020-05-20,24,1,13,10
2020-05-21,24,1,13,10
2020-05-22,25,1,13,11
2020-05-23,25,1,13,11
2020-05-24,25,1,13,11
2020-05-25,25,1,17,7
2020-05-26,25,1,18,6
2020-05-27,25,1,19,5
2020-05-28,25,1,19,5
2020-05-29,25,1,20,4
2020-05-30,25,1,20,4
2020-05-31,25,1,20,4
2020-06-01,25,1,20,4
2020-06-02,25,1,20,4
2020-06-03,26,1,20,5
2020-06-04,26,1,20,5
2020-06-05,26,1,21,4
2020-06-06,26,1,21,4
2020-06-07,26,1,21,4
2020-06-08,28,1,21,6
2020-06-09,28,1,21,6
2020-06-10,28,1,22,5
2020-06-11,28,1,22,5
2020-06-12,28,1,22,5
2020-06-13,28,1,24,3
2020-06-14,28,1,24,3
2020-06-15,30,1,24,5
2020-06-16,34,1,24,9
2020-06-17,34,1,24,9
2020-06-18,36,1,24,11
2020-06-19,36,1,24,11
2020-06-20,37,2,24,11
2020-06-21,37,2,24,11
2020-06-22,41,2,26,13
2020-06-23,42,2,26,14
2020-06-24,42,2,26,14
2020-06-25,43,2,26,15
2020-06-26,43,2,26,15
2020-06-27,44,2,26,16
2020-06-28,45,2,26,17
2020-06-29,47,2,26,19
2020-06-30,49,2,27,20
2020-07-01,49,2,27,20
2020-07-02,55,2,27,26
2020-07-03,55,2,27,26
2020-07-04,57,2,27,28
2020-07-05,57,2,27,28
2020-07-06,61,3,27,31
2020-07-07,61,3,27,31
2020-07-08,61,3,27,31
2020-07-09,63,3,32,28
2020-07-10,64,3,34,27
2020-07-11,64,3,34,27
2020-07-12,64,3,34,27
2020-07-13,64,3,34,27
2020-07-14,64,3,34,27
2020-07-15,64,3,34,27
2020-07-16,78,3,34,41
2020-07-17,78,3,34,41
2020-07-18,93,4,49,40
2020-07-19,93,4,49,40
2020-07-20,112,4,57,51
2020-07-21,112,4,57,51
2020-07-22,146,5,57,84
2020-07-23,170,5,58,107
2020-07-24,216,6,60,150
2020-07-25,277,6,60,211
2020-07-26,277,6,60,211
2020-07-27,326,8,66,252
2020-07-28,326,8,66,252
2020-07-29,326,8,66,252
2020-07-30,403,8,66,329
2020-07-31,498,9,68,421
2020-08-01,498,9,68,421
2020-08-02,498,9,68,421
2020-08-03,498,9,68,421
2020-08-04,671,14,79,578
2020-08-05,799,16,115,668
2020-08-06,935,16,136,783
2020-08-07,1090,19,146,925
2020-08-08,1090,19,146,925
2020-08-09,1235,23,221,991
2020-08-10,1235,23,221,991
2020-08-11,1346,32,227,1087
2020-08-12,1477,33,247,1197
2020-08-13,1556,43,267,1246
2020-08-14,1623,50,304,1269
2020-08-15,1689,54,347,1288
2020-08-16,1872,63,401,1408
2020-08-17,1872,63,401,1408
2020-08-18,2116,63,415,1638
2020-08-19,2288,77,435,1776
2020-08-20,2401,81,435,1885
2020-08-21,2437,84,455,1898
2020-08-22,2437,84,455,1898
2020-08-23,2685,87,490,2108
2020-08-24,2585,87,490,2008
2020-08-25,2686,90,601,1995
2020-08-26,2708,93,611,2004
2020-08-27,2743,93,638,2012
2020-08-28,2797,96,743,1958
2020-08-29,2895,96,751,2048
2020-08-30,2963,96,1032,1835
2020-08-31,2963,96,1032,1835
2020-09-01,3029,96,1032,1901
2020-09-02,3067,97,1032,1938
2020-09-03,3101,99,1075,1927
2020-09-04,3120,99,1295,1726
2020-09-05,3150,99,1315,1736
2020-09-06,3197,99,1315,1783
2020-09-07,3197,99,1315,1783
2020-09-08,3275,99,1424,1752
2020-09-09,3293,99,1460,1734
2020-09-10,3330,100,1460,1770
2020-09-11,3362,100,1582,1680
2020-09-12,3376,102,1617,1657
2020-09-13,3405,103,1723,1579
2020-09-14,3405,103,1723,1579
2020-09-15,3428,105,1737,1586
2020-09-16,3440,107,1851,1482
2020-09-17,3473,107,1951,1415
2020-09-18,3485,108,1973,1404
2020-09-19,3504,108,1992,1404
2020-09-20,3526,108,1992,1426
2020-09-21,3526,108,1992,1426
2020-09-22,3540,110,2002,1428
2020-09-23,3542,110,2011,1421
2020-09-24,3552,110,2012,1430
2020-09-25,3555,110,2034,1411
2020-09-26,3555,110,2034,1411
2020-09-27,3569,111,2161,1297
2020-09-28,3569,111,2161,1297
2020-09-29,3579,112,2161,1306
2020-09-30,3579,112,2161,1306
2020-10-01,3584,113,2216,1255
2020-10-02,3585,115,2224,1246
2020-10-03,3590,115,2226,1249
2020-10-04,3594,115,2226,1253
2020-10-05,3594,115,2226,1253
2020-10-06,3613,117,2233,1263
2020-10-07,3613,117,2235,1261
2020-10-08,3617,117,2437,1063
2020-10-09,3621,117,2489,1015
2020-10-10,3628,117,2540,971
2020-10-11,3632,117,2543,972
2020-10-12,3636,118,2593,925
2020-10-13,3636,118,2593,925
2020-10-14,3642,118,2595,929
2020-10-15,3644,118,2646,880
2020-10-16,3649,118,2649,882
2020-10-17,3649,118,2649,882
2020-10-18,3649,118,2649,882
2020-10-19,3649,118,2649,882
2020-10-20,3655,118,2658,879
2020-10-21,3657,118,2658,881
2020-10-22,3659,119,2660,880
2020-10-23,3659,119,2660,880
2020-10-24,3659,119,2660,880
2020-10-25,3660,119,2660,881
