Day,Confirmed,Deaths,Recovered,Active
2020-03-13,1,0,0,1
2020-03-14,1,0,0,1
2020-03-15,1,0,0,1
2020-03-16,1,0,0,1
2020-03-17,1,0,0,1
2020-03-18,1,0,0,1
2020-03-19,1,0,0,1
2020-03-20,1,0,0,1
2020-03-21,2,0,0,2
2020-03-22,2,0,0,2
2020-03-23,4,0,0,4
2020-03-24,4,0,0,4
2020-03-25,4,0,0,4
2020-03-26,4,0,0,4
2020-03-27,8,0,0,8
2020-03-28,8,0,0,8
2020-03-29,16,0,0,16
2020-03-30,22,0,0,22
2020-03-31,22,0,0,22
2020-04-01,30,0,0,30
2020-04-02,52,0,0,52
2020-04-03,73,0,2,71
2020-04-04,111,0,5,106
2020-04-05,121,0,5,116
2020-04-06,128,0,5,123
2020-04-07,144,0,5,139
2020-04-08,164,0,5,159
2020-04-09,194,0,11,183
2020-04-10,212,0,15,197
2020-04-11,250,0,17,233
2020-04-12,250,0,17,233
2020-04-13,319,0,17,302
2020-04-14,363,0,31,332
2020-04-15,404,1,31,372
2020-04-16,438,1,49,388
2020-04-17,477,3,59,415
2020-04-18,518,3,65,450
2020-04-19,579,5,87,487
2020-04-20,622,5,122,495
2020-04-21,688,6,127,555
2020-04-22,761,6,164,591
2020-04-23,862,6,170,686
2020-04-24,954,6,191,757
2020-04-25,996,7,208,781
2020-04-26,996,7,208,781
2020-04-27,1163,7,246,910
2020-04-28,1240,7,269,964
2020-04-29,1351,7,313,1031
2020-04-30,1495,7,329,1159
2020-05-01,1537,7,342,1188
2020-05-02,1586,7,405,1174
2020-05-03,1586,7,405,1174
2020-05-04,1710,9,450,1251
2020-05-05,1811,10,498,1303
2020-05-06,1856,11,597,1248
2020-05-07,1927,11,629,1287
2020-05-08,2009,11,663,1335
2020-05-09,2042,11,698,1333
2020-05-10,2146,11,714,1421
2020-05-11,2146,11,714,1421
2020-05-12,2298,11,816,1471
2020-05-13,2374,14,856,1504
2020-05-14,2473,15,895,1563
2020-05-15,2473,15,895,1563
2020-05-16,2658,16,1133,1509
2020-05-17,2658,16,1133,1509
2020-05-18,2796,16,1263,1517
2020-05-19,2863,18,1525,1320
2020-05-20,2863,18,1525,1320
2020-05-21,3067,18,1575,1474
2020-05-22,3067,19,1575,1473
2020-05-23,3176,20,1631,1525
2020-05-24,3275,20,1673,1582
2020-05-25,3275,20,1673,1582
2020-05-26,3275,20,1673,1582
2020-05-27,3275,20,1673,1582
2020-05-28,3553,22,1950,1581
2020-05-29,3656,22,2000,1634
2020-05-30,3706,23,2030,1653
2020-05-31,3706,23,2030,1653
2020-06-01,3844,23,2135,1686
2020-06-02,3886,23,2267,1596
2020-06-03,3933,23,2332,1578
2020-06-04,3991,23,2512,1456
2020-06-05,4060,23,2667,1370
2020-06-06,4117,23,2857,1237
2020-06-07,4117,23,2877,1217
2020-06-08,4216,23,2918,1275
2020-06-09,4258,23,2942,1293
2020-06-10,4258,23,2942,1293
2020-06-11,4372,23,3033,1316
2020-06-12,4426,24,3106,1296
2020-06-13,4484,25,3213,1246
2020-06-14,4532,25,3234,1273
2020-06-15,4572,26,3259,1287
2020-06-16,4639,26,3327,1286
2020-06-17,4668,26,3364,1278
2020-06-18,4841,26,3467,1348
2020-06-19,4904,27,3522,1355
2020-06-20,4960,27,3630,1303
2020-06-21,4988,27,3669,1292
2020-06-22,4988,27,3669,1292
2020-06-23,5040,28,3685,1327
2020-06-24,5174,29,3861,1284
2020-06-25,5174,29,3861,1284
2020-06-26,5260,29,4155,1076
2020-06-27,5291,30,4215,1046
2020-06-28,5342,31,4282,1029
2020-06-29,5351,31,4296,1024
2020-06-30,5391,33,4326,1032
2020-07-01,5404,33,4346,1025
2020-07-02,5450,33,4392,1025
2020-07-03,5521,33,4446,1042
2020-07-04,5570,34,4496,1040
2020-07-05,5610,34,4522,1054
2020-07-06,5610,34,4522,1054
2020-07-07,5636,34,4542,1060
2020-07-08,5697,34,4577,1086
2020-07-09,5881,36,4672,1173
2020-07-10,5969,37,4732,1200
2020-07-11,6044,37,4802,1205
2020-07-12,6141,37,4862,1242
2020-07-13,6141,37,4862,1242
2020-07-14,6200,38,4951,1211
