Day,Confirmed,Deaths,Recovered,Active
2020-02-22,1,0,0,1
2020-02-23,1,0,0,1
2020-02-24,1,0,0,1
2020-02-25,1,0,0,1
2020-02-26,2,0,0,2
2020-02-27,2,0,0,2
2020-02-28,2,0,0,2
2020-02-29,4,0,0,4
2020-03-01,10,0,0,10
2020-03-02,13,0,0,13
2020-03-03,13,0,0,13
2020-03-04,13,0,1,12
2020-03-05,16,0,1,15
2020-03-06,22,0,1,21
2020-03-07,22,0,1,21
2020-03-08,32,0,1,31
2020-03-09,32,0,1,31
2020-03-10,41,1,1,39
2020-03-11,61,3,1,57
2020-03-12,61,3,1,57
2020-03-13,77,3,1,73
2020-03-14,93,3,1,89
2020-03-15,110,3,1,106
2020-03-16,99,3,1,95
2020-03-17,120,3,3,114
2020-03-18,133,3,3,127
2020-03-19,157,4,4,149
2020-03-20,163,4,4,155
2020-03-21,187,4,4,179
2020-03-22,248,4,8,236
2020-03-23,267,4,8,255
2020-03-24,318,4,8,306
2020-03-25,333,6,20,307
2020-03-26,368,6,23,339
2020-03-27,391,8,27,356
2020-03-28,412,8,30,374
2020-03-29,438,10,30,398
2020-03-30,446,11,35,400
2020-03-31,470,12,37,421
2020-04-01,479,14,43,422
2020-04-02,494,16,46,432
2020-04-03,508,17,50,441
2020-04-04,520,17,54,449
2020-04-05,527,18,54,455
2020-04-06,541,19,60,462
2020-04-07,548,19,62,467
2020-04-08,576,19,62,495
2020-04-09,582,19,67,496
2020-04-10,609,20,76,513
2020-04-11,619,20,77,522
2020-04-12,630,20,80,530
2020-04-13,632,20,80,532
2020-04-14,641,21,80,540
2020-04-15,658,21,85,552
2020-04-16,663,21,86,556
2020-04-17,668,21,86,561
2020-04-18,672,21,99,552
2020-04-19,673,21,102,550
2020-04-20,677,21,103,553
2020-04-21,677,21,108,548
2020-04-22,682,22,113,547
2020-04-23,688,22,140,526
2020-04-24,696,22,140,534
2020-04-25,704,24,143,537
2020-04-26,707,24,145,538
2020-04-27,710,24,145,541
2020-04-28,717,24,145,548
2020-04-29,721,24,150,547
2020-04-30,725,24,150,551
2020-05-01,729,24,192,513
2020-05-02,733,25,197,511
2020-05-03,737,25,200,512
2020-05-04,740,25,200,515
2020-05-05,741,25,206,510
2020-05-06,750,25,206,519
2020-05-07,784,25,220,539
2020-05-08,796,26,223,547
2020-05-09,809,26,234,549
2020-05-10,845,26,234,585
2020-05-11,859,26,234,599
2020-05-12,870,26,234,610
2020-05-13,878,26,236,616
2020-05-14,886,26,236,624
2020-05-15,891,26,246,619
2020-05-16,902,26,247,629
2020-05-17,911,26,247,638
2020-05-18,931,26,251,654
2020-05-19,954,26,251,677
2020-05-20,961,26,251,684
2020-05-21,1024,26,663,335
2020-05-22,1086,26,663,397
2020-05-23,1097,26,667,404
2020-05-24,1114,26,688,400
2020-05-25,1119,26,688,405
2020-05-26,1140,26,689,425
2020-05-27,1161,26,692,443
2020-05-28,1168,26,699,443
2020-05-29,1172,26,705,441
2020-05-30,1191,26,708,457
2020-05-31,1220,27,712,481
2020-06-01,1233,27,715,491
