Day,Confirmed,Deaths,Recovered,Active
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,3,0,0,3
2020-03-05,3,0,0,3
2020-03-06,4,0,0,4
2020-03-07,5,0,0,5
2020-03-08,5,0,0,5
2020-03-09,5,0,0,5
2020-03-10,5,0,0,5
2020-03-11,5,0,0,5
2020-03-12,5,0,0,5
2020-03-13,5,0,0,5
2020-03-14,6,0,0,6
2020-03-15,8,0,0,8
2020-03-16,8,0,0,8
2020-03-17,12,0,0,12
2020-03-18,20,0,0,20
2020-03-19,28,0,0,28
2020-03-20,39,0,0,39
2020-03-21,52,0,0,52
2020-03-22,102,0,0,102
2020-03-23,102,0,0,102
2020-03-24,155,0,12,143
2020-03-25,205,0,22,183
2020-03-26,283,0,27,256
2020-03-27,368,0,37,331
2020-03-28,451,0,50,401
2020-03-29,514,1,56,457
2020-03-30,589,1,63,525
2020-03-31,647,1,74,572
2020-04-01,708,1,83,624
2020-04-02,797,1,92,704
2020-04-03,868,1,103,764
2020-04-04,950,1,127,822
2020-04-05,1039,1,156,882
2020-04-06,1106,1,176,929
2020-04-07,1160,1,241,918
2020-04-08,1210,1,282,927
2020-04-09,1239,1,317,921
2020-04-10,1283,2,373,908
2020-04-11,1312,4,422,886
2020-04-12,1330,4,471,855
2020-04-13,1349,5,546,798
2020-04-14,1366,9,628,729
2020-04-15,1386,9,728,649
2020-04-16,1401,9,770,622
2020-04-17,1409,11,816,582
2020-04-18,1422,11,867,544
2020-04-19,1431,12,912,507
2020-04-20,1440,12,974,454
2020-04-21,1445,13,1006,426
2020-04-22,1451,14,1036,401
2020-04-23,1456,17,1095,344
2020-04-24,1461,18,1118,325
2020-04-25,1470,18,1142,310
2020-04-26,1469,19,1180,270
2020-04-27,1472,19,1214,239
2020-04-28,1474,19,1229,226
2020-04-29,1476,19,1241,216
2020-04-30,1479,19,1252,208
2020-05-01,1485,20,1263,202
2020-05-02,1487,20,1266,201
2020-05-03,1487,20,1276,191
2020-05-04,1486,20,1302,164
2020-05-05,1488,21,1316,151
2020-05-06,1489,21,1332,136
2020-05-07,1490,21,1347,122
2020-05-08,1492,21,1368,103
2020-05-09,1494,21,1371,102
2020-05-10,1497,21,1386,90
2020-05-11,1497,21,1398,78
2020-05-12,1497,21,1402,74
2020-05-13,1497,21,1411,65
2020-05-14,1498,21,1421,56
2020-05-15,1498,21,1428,49
2020-05-16,1499,21,1433,45
2020-05-17,1499,21,1433,45
2020-05-18,1499,21,1433,45
2020-05-19,1503,21,1447,35
2020-05-20,1503,21,1452,30
2020-05-21,1504,21,1455,28
2020-05-22,1504,21,1455,28
2020-05-23,1504,21,1456,27
2020-05-24,1504,21,1456,27
2020-05-25,1504,21,1461,22
2020-05-26,1504,21,1462,21
2020-05-27,1504,22,1474,8
2020-05-28,1504,22,1481,1
2020-05-29,1504,22,1481,1
2020-05-30,1504,22,1481,1
2020-05-31,1504,22,1481,1
2020-06-01,1504,22,1481,1
2020-06-02,1504,22,1481,1
2020-06-03,1504,22,1481,1
2020-06-04,1504,22,1481,1
2020-06-05,1504,22,1481,1
2020-06-06,1504,22,1481,1
2020-06-07,1504,22,1482,0
2020-06-08,1504,22,1482,0
2020-06-09,1504,22,1482,0
2020-06-10,1504,22,1482,0
2020-06-11,1504,22,1482,0
2020-06-12,1504,22,1482,0
2020-06-13,1504,22,1482,0
2020-06-14,1504,22,1482,0
2020-06-15,1506,22,1482,2
2020-06-16,1506,22,1482,2
2020-06-17,1507,22,1482,3
2020-06-18,1507,22,1482,3
2020-06-19,1509,22,1482,5
2020-06-20,1511,22,1482,7
2020-06-21,1513,22,1482,9
2020-06-22,1515,22,1483,10
2020-06-23,1516,22,1483,11
2020-06-24,1519,22,1484,13
2020-06-25,1520,22,1484,14
2020-06-26,1522,22,1484,16
2020-06-27,1526,22,1484,20
2020-06-28,1528,22,1484,22
2020-06-29,1528,22,1484,22
2020-06-30,1528,22,1484,22
2020-07-01,1530,22,1490,18
2020-07-02,1530,22,1490,18
2020-07-03,1530,22,1490,18
2020-07-04,1533,22,1490,21
2020-07-05,1534,22,1490,22
2020-07-06,1536,22,1492,22
2020-07-07,1537,22,1492,23
2020-07-08,1540,22,1494,24
2020-07-09,1542,22,1497,23
2020-07-10,1543,22,1497,24
2020-07-11,1544,22,1497,25
2020-07-12,1544,22,1497,25
2020-07-13,1545,22,1498,25
2020-07-14,1547,22,1498,27
2020-07-15,1548,22,1499,27
2020-07-16,1549,22,1506,21
2020-07-17,1550,22,1506,22
2020-07-18,1553,22,1506,25
2020-07-19,1554,22,1506,26
2020-07-20,1555,22,1506,27
2020-07-21,1555,22,1506,27
2020-07-22,1555,22,1511,22
2020-07-23,1556,22,1513,21
2020-07-24,1556,22,1513,21
2020-07-25,1556,22,1513,21
2020-07-26,1556,22,1513,21
2020-07-27,1557,22,1514,21
2020-07-28,1559,22,1514,23
2020-07-29,1560,22,1514,24
2020-07-30,1560,22,1518,20
2020-07-31,1562,22,1518,22
2020-08-01,1565,22,1518,25
2020-08-02,1567,22,1518,27
2020-08-03,1567,22,1523,22
2020-08-04,1569,22,1523,24
2020-08-05,1569,22,1524,23
2020-08-06,1569,22,1524,23
2020-08-07,1569,22,1524,23
2020-08-08,1569,22,1524,23
2020-08-09,1569,22,1526,21
2020-08-10,1570,22,1526,22
2020-08-11,1570,22,1526,22
2020-08-12,1589,22,1531,36
2020-08-13,1602,22,1531,49
2020-08-14,1609,22,1531,56
2020-08-15,1622,22,1531,69
2020-08-16,1631,22,1531,78
2020-08-17,1643,22,1531,90
2020-08-18,1649,22,1531,96
2020-08-19,1654,22,1531,101
2020-08-20,1665,22,1538,105
2020-08-21,1671,22,1538,111
2020-08-22,1674,22,1538,114
2020-08-23,1683,22,1538,123
2020-08-24,1690,22,1539,129
2020-08-25,1695,22,1539,134
2020-08-26,1702,22,1554,126
2020-08-27,1714,22,1561,131
2020-08-28,1727,22,1568,137
2020-08-29,1729,22,1570,137
2020-08-30,1738,22,1585,131
2020-08-31,1752,22,1598,132
2020-09-01,1757,22,1606,129
2020-09-02,1759,22,1622,115
2020-09-03,1764,22,1630,112
2020-09-04,1767,24,1631,112
2020-09-05,1772,24,1632,116
2020-09-06,1776,24,1634,118
2020-09-07,1782,24,1635,123
2020-09-08,1788,24,1639,125
2020-09-09,1792,24,1648,120
2020-09-10,1793,24,1655,114
2020-09-11,1795,24,1663,108
2020-09-12,1797,24,1676,97
2020-09-13,1798,24,1678,96
2020-09-14,1801,24,1694,83
2020-09-15,1802,25,1698,79
2020-09-16,1809,25,1707,77
2020-09-17,1809,25,1714,70
2020-09-18,1811,25,1719,67
2020-09-19,1815,25,1719,71
2020-09-20,1815,25,1728,62
2020-09-21,1815,25,1729,61
2020-09-22,1824,25,1737,62
