Day,Confirmed,Deaths,Recovered,Active
2020-03-11,1,0,0,1
2020-03-12,1,0,0,1
2020-03-13,2,0,0,2
2020-03-14,2,0,0,2
2020-03-15,2,0,0,2
2020-03-16,2,0,0,2
2020-03-17,3,0,0,3
2020-03-18,4,0,0,4
2020-03-19,14,0,0,14
2020-03-20,18,0,0,18
2020-03-21,23,1,0,22
2020-03-22,30,1,0,29
2020-03-23,36,1,0,35
2020-03-24,45,2,0,43
2020-03-25,48,2,0,46
2020-03-26,51,3,0,48
2020-03-27,51,3,2,46
2020-03-28,65,6,2,57
2020-03-29,65,6,2,57
2020-03-30,81,8,2,71
2020-03-31,98,8,2,88
2020-04-01,109,9,3,97
2020-04-02,134,13,3,118
2020-04-03,134,13,3,118
2020-04-04,154,18,3,133
2020-04-05,154,18,3,133
2020-04-06,161,18,5,138
2020-04-07,180,18,9,153
2020-04-08,180,18,9,153
2020-04-09,180,18,9,153
2020-04-10,215,20,13,182
2020-04-11,223,20,16,187
2020-04-12,234,20,16,198
2020-04-13,235,20,17,198
2020-04-14,241,20,20,201
2020-04-15,254,21,21,212
2020-04-16,267,22,23,222
2020-04-17,287,23,25,239
2020-04-18,307,25,26,256
2020-04-19,327,25,26,276
2020-04-20,332,25,27,280
2020-04-21,350,25,35,290
2020-04-22,359,25,45,289
2020-04-23,377,25,47,305
2020-04-24,394,25,48,321
2020-04-25,416,28,49,339
2020-04-26,442,28,50,364
2020-04-27,459,28,50,381
2020-04-28,471,30,56,385
2020-04-29,491,30,59,402
2020-04-30,572,31,73,468
2020-05-01,604,32,75,497
2020-05-02,674,33,75,566
2020-05-03,674,33,75,566
2020-05-04,682,34,80,568
2020-05-05,705,34,90,581
2020-05-06,797,35,92,670
2020-05-07,863,36,103,724
2020-05-08,937,39,130,768
2020-05-09,937,39,130,768
2020-05-10,991,41,136,814
2020-05-11,1024,41,141,842
2020-05-12,1102,44,146,912
2020-05-13,1169,50,148,971
2020-05-14,1242,50,157,1035
2020-05-15,1298,50,212,1036
2020-05-16,1455,61,270,1124
2020-05-17,1455,61,270,1124
2020-05-18,1538,61,272,1205
2020-05-19,1629,61,290,1278
2020-05-20,1731,61,302,1368
2020-05-21,1835,61,303,1471
2020-05-22,1945,63,312,1570
2020-05-23,2025,63,312,1650
2020-05-24,2141,63,317,1761
2020-05-25,2297,67,337,1893
2020-05-26,2403,68,340,1995
2020-05-27,2546,68,365,2113
2020-05-28,2660,69,381,2210
2020-05-29,2833,69,400,2364
2020-05-30,2966,69,428,2469
2020-05-31,3070,72,448,2550
2020-06-01,3195,72,454,2669
2020-06-02,3326,72,482,2772
2020-06-03,3495,75,492,2928
2020-06-04,3644,78,495,3071
2020-06-05,3764,81,512,3171
2020-06-06,3878,82,537,3259
2020-06-07,4016,85,537,3394
2020-06-08,4106,88,537,3481
2020-06-09,4259,90,539,3630
2020-06-10,4390,96,565,3729
2020-06-11,4515,98,567,3850
2020-06-12,4637,101,580,3956
2020-06-13,4724,106,595,4023
2020-06-14,4778,107,600,4071
2020-06-15,4837,112,613,4112
2020-06-16,4974,112,628,4234
2020-06-17,5100,115,640,4345
2020-06-18,5283,117,685,4481
2020-06-19,5477,122,719,4636
2020-06-20,5672,125,807,4740
2020-06-21,5826,130,841,4855
2020-06-22,5924,135,856,4933
2020-06-23,6027,135,861,5031
2020-06-24,6213,142,870,5201
2020-06-25,6411,142,885,5384
2020-06-26,6552,149,900,5503
2020-06-27,6690,153,937,5600
2020-06-28,6827,157,985,5685
2020-06-29,6939,167,1050,5722
2020-06-30,7039,170,1426,5443
2020-07-01,7122,175,1785,5162
2020-07-02,7189,176,2317,4696
2020-07-03,7311,179,2684,4448
2020-07-04,7379,182,2961,4236
2020-07-05,7411,182,3184,4045
2020-07-06,7432,182,3226,4024
2020-07-07,7432,182,3226,4024
2020-07-08,7432,182,3226,4024
2020-07-09,7846,189,3513,4144
2020-07-10,7905,189,3513,4203
2020-07-11,7971,189,3615,4167
2020-07-12,8033,189,3615,4229
2020-07-13,8075,190,3620,4265
2020-07-14,8135,190,3948,3997
2020-07-15,8163,192,3983,3988
2020-07-16,8199,193,4248,3758
2020-07-17,8249,193,4248,3808
2020-07-18,8324,193,4313,3818
2020-07-19,8403,194,4335,3874
2020-07-20,8443,194,4335,3914
2020-07-21,8534,196,4528,3810
2020-07-22,8626,197,4790,3639
2020-07-23,8720,201,5105,3414
2020-07-24,8767,201,5109,3457
2020-07-25,8801,204,5305,3292
2020-07-26,8831,204,5510,3117
2020-07-27,8844,208,5700,2936
2020-07-28,8873,208,5930,2735
2020-07-29,8931,210,6095,2626
2020-07-30,9010,215,6437,2358
2020-07-31,9070,215,6796,2059
2020-08-01,9084,215,7030,1839
2020-08-02,9115,215,7319,1581
2020-08-03,9133,215,7424,1494
2020-08-04,9178,215,7727,1236
2020-08-05,9253,215,7821,1217
2020-08-06,9309,215,8048,1046
2020-08-07,9355,218,8174,963
2020-08-08,9436,218,8275,943
2020-08-09,9454,224,8324,906
2020-08-10,9489,224,8363,902
2020-08-11,9499,225,8375,899
2020-08-12,9538,225,8421,892
2020-08-13,9589,234,8480,875
2020-08-14,9605,238,8512,855
2020-08-15,9638,239,8597,802
2020-08-16,9676,240,8705,731
2020-08-17,9706,243,8705,758
2020-08-18,9721,243,8882,596
2020-08-19,9741,246,8895,600
2020-08-20,9757,247,8895,615
2020-08-21,9802,248,8920,634
2020-08-22,9811,251,8920,640
2020-08-23,9830,251,8934,645
2020-08-24,9842,251,8953,638
2020-08-25,9891,251,8972,668
2020-08-26,9912,254,8987,671
2020-08-27,9915,255,9020,640
2020-08-28,9994,255,9035,704
2020-08-29,10007,258,9068,681
2020-08-30,10045,258,9103,684
2020-08-31,10097,258,9133,706
2020-09-01,10104,259,9322,523
2020-09-02,10114,259,9347,508
2020-09-03,10125,259,9367,499
2020-09-04,10149,259,9367,523
2020-09-05,10178,259,9420,499
2020-09-06,10210,260,9439,511
2020-09-07,10233,260,9451,522
2020-09-08,10292,260,9501,531
2020-09-09,10324,260,9523,541
2020-09-10,10343,262,9533,548
2020-09-11,10361,262,9622,477
2020-09-12,10385,262,9719,404
2020-09-13,10390,264,9756,370
2020-09-14,10390,264,9807,319
2020-09-15,10401,267,9817,317
2020-09-16,10414,267,9827,320
2020-09-17,10442,267,9840,335
2020-09-18,10456,268,9863,325
2020-09-19,10488,268,9891,329
2020-09-20,10515,271,9930,314
2020-09-21,10519,271,9952,296
2020-09-22,10523,271,10011,241
2020-09-23,10537,271,10041,225
2020-09-24,10555,271,10051,233
2020-09-25,10578,271,10070,237
2020-09-26,10593,271,10093,229
2020-09-27,10612,271,10093,248
2020-09-28,10624,271,10093,260
2020-09-29,10631,272,10129,230
2020-09-30,10659,272,10139,248
2020-10-01,10685,272,10165,248
