Day,Confirmed,Deaths,Recovered,Active
2020-03-15,1,0,0,1
2020-03-16,1,0,0,1
2020-03-17,1,0,0,1
2020-03-18,1,0,0,1
2020-03-19,3,0,0,3
2020-03-20,3,0,0,3
2020-03-21,3,0,0,3
2020-03-22,3,0,0,3
2020-03-23,4,0,0,4
2020-03-24,4,0,0,4
2020-03-25,4,0,0,4
2020-03-26,4,0,0,4
2020-03-27,4,0,0,4
2020-03-28,4,0,0,4
2020-03-29,19,0,0,19
2020-03-30,19,0,0,19
2020-03-31,19,0,0,19
2020-04-01,19,0,0,19
2020-04-02,22,2,2,18
2020-04-03,22,2,2,18
2020-04-04,22,2,2,18
2020-04-05,45,5,2,38
2020-04-06,45,5,2,38
2020-04-07,45,5,2,38
2020-04-08,45,5,2,38
2020-04-09,60,5,5,50
2020-04-10,60,5,5,50
2020-04-11,60,5,5,50
2020-04-12,60,5,5,50
2020-04-13,60,5,5,50
2020-04-14,60,5,5,50
2020-04-15,117,5,11,101
2020-04-16,117,5,11,101
2020-04-17,143,6,11,126
2020-04-18,143,6,11,126
2020-04-19,143,6,11,126
2020-04-20,160,6,16,138
2020-04-21,165,6,16,143
2020-04-22,186,6,16,164
2020-04-23,186,6,16,164
2020-04-24,200,6,19,175
2020-04-25,200,6,19,175
2020-04-26,200,6,19,175
2020-04-27,200,6,19,175
2020-04-28,207,8,19,180
2020-04-29,207,8,19,180
2020-04-30,220,9,19,192
2020-05-01,229,9,25,195
2020-05-02,229,9,25,195
2020-05-03,229,9,25,195
2020-05-04,236,10,26,200
2020-05-05,236,10,26,200
2020-05-06,264,10,30,224
2020-05-07,264,10,30,224
2020-05-08,274,10,33,231
2020-05-09,274,10,33,231
2020-05-10,274,10,33,231
2020-05-11,333,11,53,269
2020-05-12,333,11,53,269
2020-05-13,333,11,53,269
2020-05-14,391,15,87,289
2020-05-15,391,15,87,289
2020-05-16,391,15,87,289
2020-05-17,391,15,87,289
2020-05-18,412,15,110,287
2020-05-19,420,15,132,273
2020-05-20,420,15,132,273
2020-05-21,469,16,137,316
2020-05-22,469,16,137,316
2020-05-23,487,16,147,324
2020-05-24,487,16,147,324
2020-05-25,487,16,147,324
2020-05-26,487,16,147,324
2020-05-27,571,19,161,391
2020-05-28,571,19,161,391
2020-05-29,571,19,161,391
2020-05-30,571,19,161,391
2020-05-31,611,20,179,412
2020-06-01,611,20,179,412
2020-06-02,611,20,179,412
2020-06-03,611,20,179,412
2020-06-04,611,20,179,412
2020-06-05,635,20,182,433
2020-06-06,683,22,210,451
2020-06-07,683,22,210,451
2020-06-08,683,22,210,451
2020-06-09,728,24,221,483
2020-06-10,728,24,221,483
2020-06-11,728,24,221,483
2020-06-12,728,24,221,483
2020-06-13,728,24,221,483
2020-06-14,728,24,221,483
2020-06-15,883,27,391,465
2020-06-16,883,27,391,465
2020-06-17,883,27,391,465
2020-06-18,883,27,391,465
2020-06-19,883,27,391,465
2020-06-20,883,27,391,465
2020-06-21,883,27,391,465
2020-06-22,1087,37,456,594
2020-06-23,1087,37,456,594
2020-06-24,1087,37,456,594
2020-06-25,1087,37,456,594
2020-06-26,1087,37,456,594
2020-06-27,1087,37,456,594
2020-06-28,1087,37,456,594
2020-06-29,1087,37,456,594
2020-06-30,1087,37,456,594
2020-07-01,1382,41,486,855
2020-07-02,1382,41,486,855
2020-07-03,1557,44,501,1012
2020-07-04,1557,44,501,1012
2020-07-05,1557,44,501,1012
2020-07-06,1557,44,501,1012
2020-07-07,1557,44,501,1012
2020-07-08,1821,47,525,1249
2020-07-09,1821,47,525,1249
2020-07-10,2028,47,589,1392
2020-07-11,2028,47,589,1392
2020-07-12,2028,47,589,1392
2020-07-13,2028,47,589,1392
2020-07-14,2028,47,589,1392
2020-07-15,2222,47,589,1586
2020-07-16,2358,48,589,1721
2020-07-17,2633,49,626,1958
2020-07-18,2633,49,626,1958
2020-07-19,2633,49,626,1958
2020-07-20,2851,50,666,2135
2020-07-21,2851,50,666,2135
2020-07-22,2851,50,666,2135
2020-07-23,2851,50,666,2135
2020-07-24,3038,51,756,2231
2020-07-25,3038,51,756,2231
2020-07-26,3038,51,756,2231
2020-07-27,3200,54,829,2317
2020-07-28,3200,54,829,2317
2020-07-29,3200,54,829,2317
2020-07-30,3200,54,829,2317
2020-07-31,3200,54,829,2317
2020-08-01,3200,54,829,2317
2020-08-02,3200,54,829,2317
2020-08-03,3546,58,1589,1899
2020-08-04,3546,58,1589,1899
2020-08-05,3546,58,1589,1899
2020-08-06,3546,58,1589,1899
2020-08-07,3637,58,1589,1990
2020-08-08,3664,58,1589,2017
2020-08-09,3664,58,1589,2017
2020-08-10,3664,58,1589,2017
2020-08-11,3745,60,1625,2060
2020-08-12,3745,60,1625,2060
2020-08-13,3745,60,1625,2060
2020-08-14,3745,60,1625,2060
2020-08-15,3745,60,1625,2060
2020-08-16,3831,76,1625,2130
2020-08-17,3831,76,1625,2130
2020-08-18,3831,76,1625,2130
2020-08-19,3850,77,1625,2148
2020-08-20,3850,77,1625,2148
2020-08-21,3850,77,1625,2148
2020-08-22,3850,77,1625,2148
2020-08-23,3850,77,1625,2148
2020-08-24,3979,78,1742,2159
2020-08-25,3979,78,1742,2159
2020-08-26,3979,78,1742,2159
2020-08-27,3979,78,1742,2159
2020-08-28,3979,78,1742,2159
2020-08-29,3979,78,1742,2159
2020-08-30,3979,78,1742,2159
2020-08-31,3979,78,1742,2159
2020-09-01,3979,78,1742,2159
2020-09-02,4628,102,1742,2784
2020-09-03,4628,102,1742,2784
2020-09-04,4628,102,1742,2784
2020-09-05,4628,102,1742,2784
2020-09-06,4628,102,1742,2784
2020-09-07,4891,102,3887,902
2020-09-08,4891,114,3887,890
2020-09-09,4891,114,3887,890
2020-09-10,4891,83,3887,921
2020-09-11,4928,88,3887,953
