Day,Confirmed,Deaths,Recovered,Active
2020-03-14,2,0,0,2
2020-03-15,2,0,0,2
2020-03-16,4,0,0,4
2020-03-17,5,0,0,5
2020-03-18,7,0,0,7
2020-03-19,9,0,0,9
2020-03-20,9,0,0,9
2020-03-21,49,0,1,48
2020-03-22,50,0,0,50
2020-03-23,51,0,0,51
2020-03-24,57,0,0,57
2020-03-25,60,1,0,59
2020-03-26,65,1,0,64
2020-03-27,66,2,1,63
2020-03-28,74,3,1,70
2020-03-29,78,3,1,74
2020-03-30,82,3,1,78
2020-03-31,87,3,1,83
2020-04-01,90,5,1,84
2020-04-02,94,5,1,88
2020-04-03,98,6,1,91
2020-04-04,103,6,1,96
2020-04-05,104,7,1,96
2020-04-06,105,8,1,96
2020-04-07,107,8,1,98
2020-04-08,107,8,1,98
2020-04-09,109,8,1,100
2020-04-10,109,8,1,100
2020-04-11,112,8,12,92
2020-04-12,113,8,16,89
2020-04-13,113,8,16,89
2020-04-14,113,8,17,88
2020-04-15,114,8,19,87
2020-04-16,114,8,20,86
2020-04-17,114,8,20,86
2020-04-18,114,8,21,85
2020-04-19,114,8,21,85
2020-04-20,114,8,22,84
2020-04-21,115,8,28,79
2020-04-22,115,8,37,70
2020-04-23,115,8,48,59
2020-04-24,115,8,48,59
2020-04-25,115,8,53,54
2020-04-26,115,8,54,53
2020-04-27,116,8,59,49
2020-04-28,116,8,59,49
2020-04-29,116,8,71,37
2020-04-30,116,8,72,36
2020-05-01,116,8,83,25
2020-05-02,116,8,88,20
2020-05-03,116,8,93,15
2020-05-04,116,8,99,9
2020-05-05,116,8,103,5
2020-05-06,116,8,103,5
2020-05-07,116,8,103,5
2020-05-08,116,8,103,5
2020-05-09,116,8,104,4
2020-05-10,116,8,107,1
2020-05-11,116,8,107,1
2020-05-12,116,8,107,1
2020-05-13,116,8,107,1
2020-05-14,116,8,107,1
2020-05-15,116,8,107,1
2020-05-16,116,8,107,1
2020-05-17,116,8,107,1
2020-05-18,116,8,107,1
2020-05-19,116,8,107,1
2020-05-20,116,8,107,1
2020-05-21,116,8,108,0
2020-05-22,116,8,108,0
2020-05-23,116,8,108,0
2020-05-24,116,8,108,0
2020-05-25,116,8,108,0
2020-05-26,116,8,108,0
2020-05-27,116,8,108,0
2020-05-28,116,8,108,0
2020-05-29,116,8,108,0
2020-05-30,117,8,108,1
2020-05-31,117,8,108,1
2020-06-01,117,8,108,1
2020-06-02,117,8,108,1
2020-06-03,117,8,108,1
2020-06-04,117,8,108,1
2020-06-05,117,8,108,1
2020-06-06,117,8,108,1
2020-06-07,117,8,108,1
2020-06-08,117,8,109,0
2020-06-09,117,8,109,0
2020-06-10,117,8,109,0
2020-06-11,117,8,109,0
2020-06-12,117,8,109,0
2020-06-13,117,8,109,0
2020-06-14,123,8,109,6
2020-06-15,123,8,109,6
2020-06-16,123,8,109,6
2020-06-17,123,8,109,6
2020-06-18,123,8,109,6
2020-06-19,123,8,109,6
2020-06-20,123,8,109,6
2020-06-21,123,8,109,6
2020-06-22,123,8,109,6
2020-06-23,123,8,109,6
2020-06-24,123,8,109,6
2020-06-25,123,8,109,6
2020-06-26,124,8,109,7
2020-06-27,126,8,109,9
2020-06-28,126,8,109,9
2020-06-29,126,8,109,9
2020-06-30,130,8,113,9
2020-07-01,130,8,115,7
2020-07-02,130,8,115,7
2020-07-03,130,8,115,7
2020-07-04,130,8,115,7
2020-07-05,133,8,115,10
2020-07-06,133,8,117,8
2020-07-07,133,8,117,8
2020-07-08,133,8,117,8
2020-07-09,133,8,120,5
2020-07-10,133,8,120,5
2020-07-11,133,8,120,5
2020-07-12,133,8,120,5
2020-07-13,133,8,124,1
2020-07-14,133,8,124,1
2020-07-15,133,8,124,1
2020-07-16,133,8,124,1
2020-07-17,136,8,124,4
2020-07-18,137,8,124,5
2020-07-19,137,8,124,5
2020-07-20,137,8,124,5
2020-07-21,139,8,124,7
2020-07-22,141,8,127,6
2020-07-23,141,8,128,5
2020-07-24,142,8,128,6
2020-07-25,147,8,128,11
2020-07-26,147,8,128,11
2020-07-27,148,8,128,12
2020-07-28,153,8,128,17
2020-07-29,156,8,128,20
2020-07-30,164,8,130,26
2020-07-31,169,8,132,29
2020-08-01,173,8,132,33
2020-08-02,182,8,132,42
2020-08-03,182,8,135,39
2020-08-04,194,8,135,51
2020-08-05,199,8,135,56
2020-08-06,210,8,135,67
2020-08-07,225,8,135,82
2020-08-08,275,8,135,132
2020-08-09,279,8,135,136
2020-08-10,281,8,138,135
2020-08-11,300,8,139,153
2020-08-12,326,8,139,179
2020-08-13,404,8,139,257
2020-08-14,426,10,139,277
2020-08-15,497,10,139,348
2020-08-16,552,11,140,401
2020-08-17,588,12,140,436
2020-08-18,629,12,140,477
2020-08-19,686,12,140,534
2020-08-20,767,12,140,615
2020-08-21,864,12,162,690
2020-08-22,930,13,165,752
2020-08-23,1007,14,165,828
2020-08-24,1099,15,165,919
2020-08-25,1252,15,178,1059
2020-08-26,1411,15,192,1204
2020-08-27,1429,15,192,1222
2020-08-28,1554,19,628,907
2020-08-29,1645,19,894,732
2020-08-30,1683,21,672,990
2020-08-31,1759,22,676,1061
2020-09-01,1797,27,685,1085
2020-09-02,1920,28,691,1201
2020-09-03,1984,29,700,1255
2020-09-04,2040,31,707,1302
2020-09-05,2230,33,717,1480
2020-09-06,2250,34,724,1492
2020-09-07,2277,37,734,1506
2020-09-08,2391,39,743,1609
2020-09-09,2588,39,749,1800
2020-09-10,2698,43,755,1900
2020-09-11,2825,50,762,2013
2020-09-12,2993,51,766,2176
2020-09-13,3042,53,772,2217
2020-09-14,3141,55,787,2299
2020-09-15,3223,56,798,2369
2020-09-16,3327,58,810,2459
2020-09-17,3434,60,1469,1905
2020-09-18,3651,60,1586,2005
2020-09-19,3853,61,1695,2097
2020-09-20,3901,65,1753,2083
2020-09-21,3945,65,1802,2078
2020-09-22,4026,65,1871,2090
2020-09-23,4136,67,1960,2109
2020-09-24,4235,67,2047,2121
2020-09-25,4277,70,2122,2085
2020-09-26,4312,70,2185,2057
2020-09-27,4362,71,2234,2057
2020-09-28,4386,72,2275,2039
2020-09-29,4463,74,2454,1935
2020-09-30,4531,76,2560,1895
2020-10-01,4570,76,2629,1865
2020-10-02,4629,76,2729,1824
2020-10-03,4715,79,2802,1834
2020-10-04,4763,81,2843,1839
2020-10-05,4767,82,2884,1801
2020-10-06,4846,83,2951,1812
2020-10-07,4887,84,3010,1793
2020-10-08,4963,86,3076,1801
2020-10-09,5021,89,3150,1782
2020-10-10,5043,90,3221,1732
2020-10-11,5043,90,3221,1732
2020-10-12,5116,92,3303,1721
2020-10-13,5127,93,3367,1667
2020-10-14,5154,93,3452,1609
2020-10-15,5194,93,3502,1599
2020-10-16,5241,95,3545,1601
2020-10-17,5281,95,3584,1602
2020-10-18,5297,96,3652,1549
2020-10-19,5298,97,3696,1505
2020-10-20,5333,98,3758,1477
2020-10-21,5392,101,3822,1469
2020-10-22,5446,103,3876,1467
2020-10-23,5487,104,3945,1438
2020-10-24,5503,105,4018,1380
2020-10-25,5511,105,4085,1321
