Day,Confirmed,Deaths,Recovered,Active
2020-03-02,1,0,0,1
2020-03-03,2,0,0,2
2020-03-04,4,0,0,4
2020-03-05,4,0,0,4
2020-03-06,4,0,0,4
2020-03-07,4,0,0,4
2020-03-08,4,0,1,3
2020-03-09,4,0,1,3
2020-03-10,4,0,1,3
2020-03-11,4,0,1,3
2020-03-12,4,0,1,3
2020-03-13,10,0,1,9
2020-03-14,10,0,1,9
2020-03-15,24,0,1,23
2020-03-16,24,0,2,22
2020-03-17,26,0,2,24
2020-03-18,31,0,2,29
2020-03-19,31,0,2,29
2020-03-20,38,0,2,36
2020-03-21,47,0,5,42
2020-03-22,67,0,5,62
2020-03-23,79,0,8,71
2020-03-24,86,0,8,78
2020-03-25,99,0,9,90
2020-03-26,105,0,9,96
2020-03-27,119,0,11,108
2020-03-28,130,0,18,112
2020-03-29,142,0,27,115
2020-03-30,162,0,27,135
2020-03-31,175,0,40,135
2020-04-01,190,1,45,144
2020-04-02,195,1,55,139
2020-04-03,207,1,66,140
2020-04-04,219,2,72,145
2020-04-05,222,2,82,138
2020-04-06,226,2,92,132
2020-04-07,237,2,105,130
2020-04-08,244,2,113,129
2020-04-09,250,2,123,125
2020-04-10,265,2,137,126
2020-04-11,278,2,152,124
2020-04-12,280,2,171,107
2020-04-13,291,2,178,111
2020-04-14,299,2,183,114
2020-04-15,314,2,190,122
2020-04-16,335,2,194,139
2020-04-17,342,2,198,142
2020-04-18,350,3,211,136
2020-04-19,367,3,220,144
2020-04-20,377,5,235,137
2020-04-21,412,5,242,165
2020-04-22,442,6,253,183
2020-04-23,479,6,257,216
2020-04-24,545,7,262,276
2020-04-25,614,7,276,331
2020-04-26,671,9,283,379
2020-04-27,736,9,284,443
2020-04-28,823,9,296,518
2020-04-29,882,9,315,558
2020-04-30,933,9,334,590
2020-05-01,1024,9,356,659
2020-05-02,1115,9,368,738
2020-05-03,1182,9,372,801
2020-05-04,1271,10,415,846
2020-05-05,1329,11,470,848
2020-05-06,1433,12,493,928
2020-05-07,1492,13,562,917
2020-05-08,1551,13,611,927
2020-05-09,1634,17,643,974
2020-05-10,1709,19,650,1040
2020-05-11,1886,19,715,1152
2020-05-12,1995,19,742,1234
2020-05-13,2105,21,782,1302
2020-05-14,2189,23,842,1324
2020-05-15,2310,25,890,1395
2020-05-16,2429,25,949,1455
2020-05-17,2480,25,973,1482
2020-05-18,2544,26,1076,1442
2020-05-19,2617,30,1133,1454
2020-05-20,2714,30,1186,1498
2020-05-21,2812,33,1251,1528
2020-05-22,2909,33,1311,1565
2020-05-23,2976,34,1416,1526
2020-05-24,3047,35,1456,1556
2020-05-25,3130,35,1515,1580
2020-05-26,3161,36,1565,1560
2020-05-27,3253,38,1586,1629
2020-05-28,3348,39,1686,1623
2020-05-29,3429,41,1738,1650
2020-05-30,3535,42,1761,1732
2020-05-31,3645,42,1801,1802
2020-06-01,3739,42,1858,1839
2020-06-02,3836,43,1954,1839
2020-06-03,3932,45,2063,1824
2020-06-04,4021,45,2162,1814
2020-06-05,4155,45,2276,1834
2020-06-06,4249,47,2512,1690
2020-06-07,4328,49,2588,1691
2020-06-08,4427,49,2699,1679
2020-06-09,4516,52,2809,1655
2020-06-10,4640,52,2885,1703
2020-06-11,4759,55,2994,1710
2020-06-12,4851,56,3100,1695
2020-06-13,4996,60,3228,1708
2020-06-14,5090,60,3344,1686
2020-06-15,5173,64,3424,1685
2020-06-16,5247,70,3525,1652
2020-06-17,5369,73,3606,1690
2020-06-18,5475,76,3716,1683
2020-06-19,5639,79,3788,1772
2020-06-20,5783,82,3859,1842
2020-06-21,5888,84,3919,1885
2020-06-22,5970,86,3953,1931
2020-06-23,6034,89,4046,1899
2020-06-24,6129,93,4072,1964
2020-06-25,6233,94,4162,1977
2020-06-26,6354,98,4193,2063
2020-06-27,6459,102,4255,2102
2020-06-28,6586,105,4291,2190
2020-06-29,6698,108,4341,2249
2020-06-30,6793,112,4431,2250
2020-07-01,6925,116,4545,2264
2020-07-02,7054,121,4599,2334
2020-07-03,7164,125,4666,2373
2020-07-04,7272,129,4713,2430
2020-07-05,7400,133,4870,2397
2020-07-06,7478,136,4870,2472
2020-07-07,7547,137,5023,2387
2020-07-08,7657,141,5097,2419
2020-07-09,7784,143,5169,2472
2020-07-10,7882,145,5311,2426
2020-07-11,8014,145,5381,2488
2020-07-12,8135,148,5446,2541
2020-07-13,8198,150,5514,2534
2020-07-14,8243,150,5580,2513
2020-07-15,8369,153,5605,2611
2020-07-16,8481,156,5735,2590
2020-07-17,8544,160,5809,2575
2020-07-18,8669,163,5859,2647
2020-07-19,8810,167,5948,2695
2020-07-20,8948,170,6002,2776
2020-07-21,8985,174,6044,2767
2020-07-22,9121,177,6108,2836
2020-07-23,9266,178,6170,2918
2020-07-24,9422,182,6291,2949
2020-07-25,9552,187,6364,3001
2020-07-26,9681,191,6409,3081
2020-07-27,9764,194,6477,3093
2020-07-28,9805,198,6591,3016
2020-07-29,9961,200,6655,3106
2020-07-30,10106,204,6725,3177
2020-07-31,10232,205,6776,3251
2020-08-01,10284,209,6822,3253
2020-08-02,10344,209,6838,3297
2020-08-03,10386,211,6901,3274
2020-08-04,10432,214,6920,3298
2020-08-05,10538,218,6988,3332
2020-08-06,10715,223,7101,3391
2020-08-07,10887,225,7186,3476
2020-08-08,11003,229,7329,3445
2020-08-09,11175,232,7352,3591
2020-08-10,11312,236,7390,3686
2020-08-11,11380,238,7449,3693
2020-08-12,11587,242,7523,3822
2020-08-13,11740,244,7572,3924
2020-08-14,11872,249,7615,4008
2020-08-15,12032,251,7637,4144
2020-08-16,12162,253,7677,4232
2020-08-17,12237,256,7728,4253
2020-08-18,12305,256,7767,4282
2020-08-19,12446,258,7877,4311
2020-08-20,12559,261,8050,4248
2020-08-21,12689,262,8165,4262
2020-08-22,12850,266,8165,4419
2020-08-23,12949,269,8455,4225
2020-08-24,13013,272,8595,4146
2020-08-25,13056,274,8715,4067
2020-08-26,13186,275,8852,4059
2020-08-27,13294,277,8974,4043
2020-08-28,13384,279,9091,4014
2020-08-29,13456,282,9233,3941
2020-08-30,13556,284,9388,3884
2020-08-31,13611,284,9439,3888
2020-09-01,13655,284,9484,3887
2020-09-02,13743,287,9506,3950
2020-09-03,13826,287,9553,3986
2020-09-04,13881,289,9723,3869
2020-09-05,13948,290,9851,3807
2020-09-06,13987,290,9922,3775
2020-09-07,14014,291,10037,3686
2020-09-08,14044,292,10037,3715
2020-09-09,14102,293,10176,3633
2020-09-10,14150,293,10207,3650
2020-09-11,14193,293,10350,3550
2020-09-12,14237,295,10373,3569
2020-09-13,14280,297,10520,3463
2020-09-14,14306,297,10563,3446
2020-09-15,14529,298,10692,3539
2020-09-16,14568,299,10756,3513
2020-09-17,14618,300,10923,3395
2020-09-18,14645,301,11051,3293
2020-09-19,14688,302,11153,3233
2020-09-20,14714,302,11260,3152
2020-09-21,14738,302,11458,2978
2020-09-22,14759,302,11621,2836
2020-09-23,14795,303,11718,2774
2020-09-24,14816,304,11818,2694
2020-09-25,14839,304,11910,2625
2020-09-26,14869,306,12028,2535
2020-09-27,14909,308,12113,2488
2020-09-28,14919,309,12231,2379
2020-09-29,14945,310,12335,2300
2020-09-30,14982,311,12437,2234
2020-10-01,15019,311,12538,2170
2020-10-02,15051,312,12694,2045
2020-10-03,15068,312,12751,2005
2020-10-04,15094,312,12805,1977
2020-10-05,15122,312,12870,1940
2020-10-06,15141,312,12936,1893
2020-10-07,15174,313,12998,1863
2020-10-08,15190,313,13068,1809
2020-10-09,15213,313,13136,1764
2020-10-10,15244,314,13198,1732
2020-10-11,15268,314,13297,1657
2020-10-12,15292,315,13390,1587
2020-10-13,15307,315,13508,1484
2020-10-14,15331,316,13571,1444
2020-10-15,15348,316,13637,1395
2020-10-16,15368,317,13704,1347
2020-10-17,15392,317,13756,1319
2020-10-18,15418,317,13814,1287
2020-10-19,15432,319,13865,1248
2020-10-20,15459,320,13922,1217
2020-10-21,15484,321,13975,1188
2020-10-22,15508,321,14026,1161
2020-10-23,15525,321,14082,1122
2020-10-24,15543,321,14161,1061
2020-10-25,15551,321,14254,976
