Day,Confirmed,Deaths,Recovered,Active
2020-02-25,1,0,0,1
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,3,0,0,3
2020-03-03,5,0,0,5
2020-03-04,12,0,0,12
2020-03-05,12,0,0,12
2020-03-06,17,0,0,17
2020-03-07,17,0,0,17
2020-03-08,19,0,0,19
2020-03-09,20,0,0,20
2020-03-10,20,0,0,20
2020-03-11,20,0,0,20
2020-03-12,24,1,8,15
2020-03-13,26,2,8,16
2020-03-14,37,3,12,22
2020-03-15,48,4,12,32
2020-03-16,54,4,12,38
2020-03-17,60,4,12,44
2020-03-18,74,7,12,55
2020-03-19,87,9,32,46
2020-03-20,90,11,32,47
2020-03-21,139,15,32,92
2020-03-22,201,17,65,119
2020-03-23,230,17,65,148
2020-03-24,264,19,24,221
2020-03-25,302,21,65,216
2020-03-26,367,25,29,313
2020-03-27,409,26,29,354
2020-03-28,454,29,31,394
2020-03-29,511,31,31,449
2020-03-30,584,35,37,512
2020-03-31,716,44,46,626
2020-04-01,847,58,61,728
2020-04-02,986,86,61,839
2020-04-03,1171,105,62,1004
2020-04-04,1251,130,90,1031
2020-04-05,1320,152,90,1078
2020-04-06,1423,173,90,1160
2020-04-07,1468,193,113,1162
2020-04-08,1572,205,237,1130
2020-04-09,1666,235,347,1084
2020-04-10,1761,256,405,1100
2020-04-11,1825,275,460,1090
2020-04-12,1914,293,591,1030
2020-04-13,1983,313,601,1069
2020-04-14,2070,326,691,1053
2020-04-15,2160,336,708,1116
2020-04-16,2268,348,783,1137
2020-04-17,2418,364,846,1208
2020-04-18,2534,367,894,1273
2020-04-19,2629,375,1047,1207
2020-04-20,2718,384,1099,1235
2020-04-21,2811,392,1152,1267
2020-04-22,2910,402,1204,1304
2020-04-23,3007,407,1355,1245
2020-04-24,3127,415,1408,1304
2020-04-25,3256,419,1479,1358
2020-04-26,3382,425,1508,1449
2020-04-27,3517,432,1558,1527
2020-04-28,3649,437,1651,1561
2020-04-29,3848,444,1702,1702
2020-04-30,4006,450,1779,1777
2020-05-01,4154,453,1821,1880
2020-05-02,4295,459,1872,1964
2020-05-03,4474,463,1936,2075
2020-05-04,4648,465,1998,2185
2020-05-05,4838,470,2067,2301
2020-05-06,4997,476,2197,2324
2020-05-07,5182,483,2323,2376
2020-05-08,5369,488,2467,2414
2020-05-09,5558,494,2546,2518
2020-05-10,5723,502,2678,2543
2020-05-11,5891,507,2841,2543
2020-05-12,6067,515,2998,2554
2020-05-13,6253,522,3058,2673
2020-05-14,6442,529,3158,2755
2020-05-15,6629,536,3271,2822
2020-05-16,6821,542,3409,2870
2020-05-17,7019,548,3507,2964
2020-05-18,7201,555,3625,3021
2020-05-19,7377,561,3746,3070
2020-05-20,7542,568,3968,3006
2020-05-21,7728,575,4062,3091
2020-05-22,7918,582,4256,3080
2020-05-23,8113,592,4426,3095
2020-05-24,8306,600,4784,2922
2020-05-25,8503,609,4747,3147
2020-05-26,8697,617,4918,3162
2020-05-27,8857,623,5129,3105
2020-05-28,8997,630,5277,3090
2020-05-29,9134,638,5422,3074
2020-05-30,9267,646,5549,3072
2020-05-31,9394,653,5748,2993
2020-06-01,9513,661,5894,2958
2020-06-02,9626,667,6067,2892
2020-06-03,9733,673,6218,2842
2020-06-04,9831,681,6297,2853
2020-06-05,9935,690,6453,2792
2020-06-06,10050,698,6631,2721
2020-06-07,10154,707,6717,2730
2020-06-08,10265,715,6799,2751
2020-06-09,10382,724,6951,2707
2020-06-10,10484,732,7074,2678
2020-06-11,10589,741,7255,2593
2020-06-12,10698,751,7322,2625
2020-06-13,10810,760,7420,2630
2020-06-14,10919,767,7606,2546
2020-06-15,11031,777,7735,2519
2020-06-16,11147,788,7842,2517
2020-06-17,11268,799,7943,2526
2020-06-18,11385,811,8078,2496
2020-06-19,11504,825,8196,2483
2020-06-20,11631,837,8324,2470
2020-06-21,11771,845,8422,2504
2020-06-22,11920,852,8559,2509
2020-06-23,12076,861,8674,2541
2020-06-24,12248,869,8792,2587
2020-06-25,12445,878,8920,2647
2020-06-26,12685,885,9066,2734
2020-06-27,12968,892,9202,2874
2020-06-28,13273,897,9371,3005
2020-06-29,13571,905,9674,2992
2020-06-30,13907,912,9897,3098
2020-07-01,14272,920,10040,3312
2020-07-02,14657,928,10342,3387
2020-07-03,15070,937,10832,3301
