Day,Confirmed,Deaths,Recovered,Active
2020-03-11,2,0,0,2
2020-03-12,2,0,0,2
2020-03-13,2,0,0,2
2020-03-14,2,0,0,2
2020-03-15,3,0,0,3
2020-03-16,6,0,0,6
2020-03-17,8,0,0,8
2020-03-18,9,0,0,9
2020-03-19,12,0,0,12
2020-03-20,24,0,0,24
2020-03-21,24,0,0,24
2020-03-22,26,0,0,26
2020-03-23,27,0,0,27
2020-03-24,30,0,0,30
2020-03-25,36,0,0,36
2020-03-26,52,1,0,51
2020-03-27,68,1,0,67
2020-03-28,95,1,3,91
2020-03-29,110,3,3,104
2020-03-30,139,7,3,129
2020-03-31,141,7,3,131
2020-04-01,172,10,3,159
2020-04-02,219,14,3,202
2020-04-03,222,15,3,204
2020-04-04,264,15,3,246
2020-04-05,268,22,6,240
2020-04-06,298,22,6,270
2020-04-07,305,22,6,277
2020-04-08,312,22,6,284
2020-04-09,343,23,6,314
2020-04-10,382,23,7,352
2020-04-11,392,24,7,361
2020-04-12,393,25,7,361
2020-04-13,397,25,7,365
2020-04-14,407,26,7,374
2020-04-15,419,31,9,379
2020-04-16,426,35,9,382
2020-04-17,442,41,10,391
2020-04-18,457,46,10,401
2020-04-19,472,46,15,411
2020-04-20,477,46,25,406
2020-04-21,494,46,29,419
2020-04-22,510,46,30,434
2020-04-23,519,47,31,441
2020-04-24,591,55,58,478
2020-04-25,627,59,65,503
2020-04-26,627,59,65,503
2020-04-27,661,61,79,521
2020-04-28,702,64,79,559
2020-04-29,738,66,73,599
2020-04-30,771,71,79,621
2020-05-01,804,75,112,617
2020-05-02,1010,76,116,818
2020-05-03,1055,82,118,855
2020-05-04,1178,83,122,973
2020-05-05,1270,93,122,1055
2020-05-06,1461,99,132,1230
2020-05-07,1685,105,154,1426
2020-05-08,1771,107,192,1472
2020-05-09,1830,108,195,1527
2020-05-10,1972,108,203,1661
2020-05-11,2100,116,206,1778
2020-05-12,2080,121,211,1748
2020-05-13,2255,123,237,1895
2020-05-14,2318,133,253,1932
2020-05-15,2460,134,264,2062
2020-05-16,2565,138,278,2149
2020-05-17,2646,142,319,2185
2020-05-18,2798,146,340,2312
2020-05-19,2955,147,349,2459
2020-05-20,2955,147,349,2459
2020-05-21,3204,156,397,2651
2020-05-22,3477,167,439,2871
2020-05-23,3477,167,439,2871
2020-05-24,3950,180,468,3302
2020-05-25,4189,182,473,3534
2020-05-26,4401,188,493,3720
2020-05-27,4640,194,506,3940
2020-05-28,4752,196,519,4037
2020-05-29,4752,196,519,4037
2020-05-30,5094,201,536,4357
2020-05-31,5202,212,537,4453
2020-06-01,5362,217,549,4596
2020-06-02,5527,225,563,4739
2020-06-03,5690,234,617,4839
2020-06-04,5880,243,648,4989
2020-06-05,5971,248,677,5046
2020-06-06,6155,250,697,5208
2020-06-07,6327,258,712,5357
2020-06-08,6450,262,740,5448
2020-06-09,6935,271,787,5877
2020-06-10,7360,290,809,6261
2020-06-11,7669,294,837,6538
2020-06-12,8132,306,844,6982
2020-06-13,8455,310,894,7251
2020-06-14,8858,312,967,7579
2020-06-15,9178,322,1025,7831
2020-06-16,9656,330,1075,8251
2020-06-17,10299,336,1116,8847
2020-06-18,10739,343,1179,9217
2020-06-19,11258,349,1214,9695
2020-06-20,12306,358,1275,10673
2020-06-21,12769,363,1293,11113
2020-06-22,13356,395,1362,11599
2020-06-23,13943,405,1461,12077
2020-06-24,14571,417,1546,12608
