Day,Confirmed,Deaths,Recovered,Active
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,2,0,0,2
2020-03-09,2,0,0,2
2020-03-10,5,0,0,5
2020-03-11,7,0,0,7
2020-03-12,7,0,0,7
2020-03-13,16,0,0,16
2020-03-14,18,0,0,18
2020-03-15,18,0,0,18
2020-03-16,20,0,0,20
2020-03-17,24,0,0,24
2020-03-18,29,0,0,29
2020-03-19,39,1,0,38
2020-03-20,54,1,0,53
2020-03-21,60,1,0,59
2020-03-22,75,3,1,71
2020-03-23,89,3,1,85
2020-03-24,114,4,1,109
2020-03-25,173,5,2,166
2020-03-26,197,6,2,189
2020-03-27,227,6,2,219
2020-03-28,278,8,2,268
2020-03-29,312,8,2,302
2020-03-30,312,8,3,301
2020-03-31,394,10,3,381
2020-04-01,423,12,5,406
2020-04-02,455,14,5,436
2020-04-03,495,18,5,472
2020-04-04,553,18,5,530
2020-04-05,574,22,5,547
2020-04-06,596,22,5,569
2020-04-07,623,23,25,575
2020-04-08,628,24,25,579
2020-04-09,643,25,25,593
2020-04-10,671,25,25,621
2020-04-11,685,28,43,614
2020-04-12,707,31,43,633
2020-04-13,726,34,43,649
2020-04-14,747,34,43,670
2020-04-15,780,35,43,702
2020-04-16,822,37,43,742
2020-04-17,864,37,43,784
2020-04-18,864,37,43,784
2020-04-19,879,38,43,798
2020-04-20,884,38,148,698
2020-04-21,884,38,148,698
2020-04-22,909,38,190,681
2020-04-23,918,38,190,690
2020-04-24,922,38,194,690
2020-04-25,939,38,207,694
2020-04-26,949,38,216,695
2020-04-27,967,39,279,649
2020-04-28,975,40,279,656
2020-04-29,980,40,294,646
2020-04-30,994,41,305,648
2020-05-01,998,41,316,641
2020-05-02,1009,42,323,644
2020-05-03,1013,42,328,643
2020-05-04,1018,43,406,569
2020-05-05,1022,43,482,497
2020-05-06,1025,43,591,391
2020-05-07,1026,44,600,382
2020-05-08,1030,45,638,347
2020-05-09,1032,45,660,327
2020-05-10,1032,45,700,287
2020-05-11,1032,45,727,260
2020-05-12,1032,45,740,247
2020-05-13,1032,45,759,228
2020-05-14,1032,45,770,217
2020-05-15,1035,45,802,188
2020-05-16,1037,45,807,185
